band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
low_le5,dsfdsssssssssss freabcd dsoisd,3,13,1,0.000423908435777872,0.005510809665112336
low_le5,freabcd dsoisd dsfs,3,13,1,0.000423908435777872,0.005510809665112336
low_le5,playing computer games,3,12,10,0.00423908435777872,0.005086901229334464
low_le5,play video games,3,12,11,0.0046629927935565915,0.005086901229334464
low_le5,getting job straight,3,12,11,0.0046629927935565915,0.005086901229334464
low_le5,lead logical conclusion,3,12,12,0.005086901229334464,0.005086901229334464
low_le5,plays crucial role,3,12,12,0.005086901229334464,0.005086901229334464
mid_5_5_to_6_5,children,1,3426,1070,0.2670993509735397,0.8552171742386421
mid_5_5_to_6_5,example,1,3036,2455,0.6128307538691962,0.7578632051922117
mid_5_5_to_6_5,work,1,2802,1277,0.318771842236645,0.6994508237643535
mid_5_5_to_6_5,conclusion,1,2446,2369,0.59136295556665,0.6105841238142786
mid_5_5_to_6_5,hand,1,2434,1648,0.41138292561158263,0.6075886170743884
mid_5_5_to_6_5,students,1,2335,808,0.2016974538192711,0.5828756864702945
mid_5_5_to_6_5,however,1,2208,1769,0.4415876185721418,0.5511732401397903
mid_5_5_to_6_5,instance,1,2056,1894,0.472790813779331,0.5132301547678483
mid_5_5_to_6_5,education,1,2027,935,0.23339990014977532,0.5059910134797804
mid_5_5_to_6_5,help,1,2026,1238,0.309036445332002,0.5057413879181228
mid_5_5_to_6_5,school,1,2005,873,0.21792311532700948,0.5004992511233151
mid_5_5_to_6_5,get,1,1889,1170,0.2920619071392911,0.47154268597104343
mid_5_5_to_6_5,well,1,1844,1334,0.3330004992511233,0.46030953569645533
mid_5_5_to_6_5,government,1,1774,893,0.22291562656015976,0.44283574638042933
mid_5_5_to_6_5,make,1,1768,1262,0.31502745881178235,0.44133799301048426
mid_5_5_to_6_5,money,1,1741,912,0.2276585122316525,0.4345981028457314
mid_5_5_to_6_5,like,1,1721,1223,0.3052920619071393,0.4296055916125811
mid_5_5_to_6_5,social,1,1713,797,0.19895157264103844,0.42760858711932104
mid_5_5_to_6_5,therefore,1,1652,1395,0.34822765851223164,0.4123814278582127
mid_5_5_to_6_5,better,1,1588,1079,0.2693459810284573,0.3964053919121318
mid_5_5_to_6_5,job,1,1578,751,0.1874687968047928,0.3939091362955567
mid_5_5_to_6_5,good,1,1569,1036,0.2586120818771842,0.39166250624063903
mid_5_5_to_6_5,reasons,1,1528,1157,0.2888167748377434,0.381427858212681
mid_5_5_to_6_5,history,1,1518,502,0.12531203195207188,0.37893160259610587
mid_5_5_to_6_5,young,1,1512,770,0.19221168247628556,0.37743384922616074
