band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc,other_count_per_doc,distinctiveness_score
low_le5,information,1,799,394,0.16701992369648155,0.3387028401865197,0.3399618690745913,-0.0012590288880716116
low_le5,moreover,1,728,679,0.2878338278931751,0.3086053412462908,0.31941253781070933,-0.01080719656441853
low_le5,students,1,1313,435,0.18440016956337432,0.5565917761763459,0.5700028115800373,-0.013411035403691374
low_le5,others,1,811,638,0.27045358202628234,0.34378974141585417,0.358538992837244,-0.01474925142138983
low_le5,first,1,717,624,0.2645188639253921,0.3039423484527342,0.318771842236645,-0.014829493783910797
low_le5,become,1,793,560,0.23738872403560832,0.3361593895718525,0.3524587252374378,-0.016299335665585335
low_le5,future,1,824,565,0.23950826621449767,0.3493005510809665,0.3659951736549532,-0.016694622573986684
mid_5_5_to_6_5,problems,1,1334,823,0.2054418372441338,0.3330004992511233,0.0,0.3330004992511233
mid_5_5_to_6_5,find,1,1270,837,0.208936595107339,0.3170244633050424,0.0,0.3170244633050424
mid_5_5_to_6_5,environment,1,1238,670,0.1672491263105342,0.309036445332002,0.0,0.309036445332002
mid_5_5_to_6_5,children,1,3426,1070,0.2670993509735397,0.8552171742386421,0.7674169560562738,0.08780021818236827
mid_5_5_to_6_5,get,1,1889,1170,0.2920619071392911,0.47154268597104343,0.3964639748757892,0.07507871109525421
mid_5_5_to_6_5,instance,1,2056,1894,0.472790813779331,0.5132301547678483,0.4660535223698284,0.04717663239801989
mid_5_5_to_6_5,help,1,2026,1238,0.309036445332002,0.5057413879181228,0.46377902421313355,0.04196236370498929
mid_5_5_to_6_5,example,1,3036,2455,0.6128307538691962,0.7578632051922117,0.7207548228370734,0.03710838235513836
mid_5_5_to_6_5,however,1,2208,1769,0.4415876185721418,0.5511732401397903,0.5145910382663947,0.03658220187339556
mid_5_5_to_6_5,jobs,1,1321,589,0.14702945581627558,0.32975536694957563,0.2936388302683147,0.03611653668126091
mid_5_5_to_6_5,like,1,1721,1223,0.3052920619071393,0.4296055916125811,0.3955722591354696,0.03403333247711149
mid_5_5_to_6_5,government,1,1774,893,0.22291562656015976,0.44283574638042933,0.4099674458257927,0.03286830055463663
mid_5_5_to_6_5,school,1,2005,873,0.21792311532700948,0.5004992511233151,0.4679324834120424,0.03256676771127265
mid_5_5_to_6_5,history,1,1518,502,0.12531203195207188,0.37893160259610587,0.34675710046629926,0.032174502129806604
mid_5_5_to_6_5,better,1,1588,1079,0.2693459810284573,0.3964053919121318,0.3642709599206523,0.03213443199147953
mid_5_5_to_6_5,moreover,1,1349,1258,0.3140289565651523,0.336744882675986,0.3053427670958617,0.03140211558012429
mid_5_5_to_6_5,conclusion,1,2446,2369,0.59136295556665,0.6105841238142786,0.5807599884623293,0.029824135351949277
mid_5_5_to_6_5,due,1,1404,1091,0.2723414877683475,0.3504742885671493,0.3226256942187554,0.027848594348393874
mid_5_5_to_6_5,money,1,1741,912,0.2276585122316525,0.4345981028457314,0.4075800374782598,0.02701806536747159
mid_5_5_to_6_5,hand,1,2434,1648,0.41138292561158263,0.6075886170743884,0.5809546259503274,0.02663399112406095
mid_5_5_to_6_5,students,1,2335,808,0.2016974538192711,0.5828756864702945,0.5568608564330629,0.026014830037231595
mid_5_5_to_6_5,knowledge,1,1263,815,0.2034448327508737,0.3152770843734398,0.2903225806451613,0.02495450372827851
mid_5_5_to_6_5,well,1,1844,1334,0.3330004992511233,0.46030953569645533,0.4368852481014538,0.023424287595001536
mid_5_5_to_6_5,future,1,1500,1017,0.2538691962056915,0.3744383424862706,0.3534262779523012,0.02101206453396942
