TSNE1,TSNE2,target_band_rounded,target_band_group_pr
34.635117,-14.132334,7.0,upper_mid_6_5_7
0.53337663,31.435787,6.0,mid_5_5_6
-10.077644,26.855469,5.0,lower_mid_4_5_5
11.016221,16.321665,6.0,mid_5_5_6
37.853443,-7.9156504,5.5,mid_5_5_6
36.761906,-18.336697,6.0,mid_5_5_6
-1.0716088,-0.18773268,9.0,very_high_8_5_9
0.35492495,-13.955341,6.0,mid_5_5_6
-4.5634046,44.73696,8.0,high_7_5_8
-8.828008,-31.327291,4.5,lower_mid_4_5_5
7.362527,-13.317635,6.0,mid_5_5_6
11.732398,4.383063,6.5,upper_mid_6_5_7
36.556454,-7.7769117,7.5,high_7_5_8
27.294008,-16.206213,4.0,low_0_4
-11.230774,-20.640402,8.0,high_7_5_8
-8.950127,43.65424,6.5,upper_mid_6_5_7
-6.5261045,2.3265135,5.5,mid_5_5_6
39.257435,-15.582467,7.5,high_7_5_8
-4.885825,45.865303,6.0,mid_5_5_6
-33.74805,4.4812703,6.0,mid_5_5_6
5.2304335,-6.4627385,6.0,mid_5_5_6
2.4359424,-33.33532,2.5,low_0_4
-1.7000462,12.146584,6.0,mid_5_5_6
-27.61007,2.6341815,7.5,high_7_5_8
-27.79518,0.061895236,7.5,high_7_5_8
26.51391,23.554724,8.0,high_7_5_8
-17.706,19.036654,4.0,low_0_4
14.531409,10.999499,7.0,upper_mid_6_5_7
2.8471122,20.680038,6.0,mid_5_5_6
-9.345487,19.841234,7.0,upper_mid_6_5_7
21.849335,22.221678,1.0,low_0_4
16.702423,-2.9312024,8.0,high_7_5_8
21.378767,-2.7174325,7.0,upper_mid_6_5_7
49.58578,-2.2746978,8.0,high_7_5_8
-26.612453,28.995123,4.0,low_0_4
-13.407472,-6.4451475,7.5,high_7_5_8
30.804535,-24.955652,6.0,mid_5_5_6
-10.955485,22.14238,7.0,upper_mid_6_5_7
-21.479988,-13.356424,8.0,high_7_5_8
-35.288826,-8.421937,7.5,high_7_5_8
1.1922454,-14.030066,6.0,mid_5_5_6
36.252056,-19.413183,6.0,mid_5_5_6
10.53446,26.515177,5.5,mid_5_5_6
-11.478702,-8.326096,5.5,mid_5_5_6
-9.174836,41.39237,6.0,mid_5_5_6
10.369212,21.000378,5.5,mid_5_5_6
11.774656,17.727715,5.5,mid_5_5_6
-9.354609,8.025627,7.0,upper_mid_6_5_7
20.511606,-2.1843524,7.0,upper_mid_6_5_7
-17.542166,6.2609363,5.0,lower_mid_4_5_5
-4.749645,-23.200834,4.0,low_0_4
-40.266872,-10.598659,2.0,low_0_4
17.633276,11.585686,7.5,high_7_5_8
-25.14669,7.2064877,7.5,high_7_5_8
-7.8607807,25.47311,6.5,upper_mid_6_5_7
36.12323,-15.949461,9.0,very_high_8_5_9
-10.164227,3.1381953,5.5,mid_5_5_6
0.3949509,6.4491563,6.0,mid_5_5_6
-2.855459,43.741127,7.5,high_7_5_8
14.275413,11.396246,6.5,upper_mid_6_5_7
12.072006,17.727757,7.5,high_7_5_8
-7.911712,25.249006,6.0,mid_5_5_6
-6.652107,-19.652859,6.5,upper_mid_6_5_7
-15.642415,17.509506,7.0,upper_mid_6_5_7
-3.2865193,-22.196428,6.5,upper_mid_6_5_7
37.612568,-20.878016,9.0,very_high_8_5_9
23.622358,-17.88025,3.0,low_0_4
-19.017527,-17.002762,6.5,upper_mid_6_5_7
-34.87386,-8.2461405,8.0,high_7_5_8
-3.074359,43.092823,6.0,mid_5_5_6
21.924128,14.979205,5.5,mid_5_5_6
-23.550901,26.775799,7.0,upper_mid_6_5_7
35.50388,-8.910142,7.0,upper_mid_6_5_7
-9.436897,-0.66391265,2.5,low_0_4
-36.273228,15.987017,7.5,high_7_5_8
-15.033216,23.667042,6.5,upper_mid_6_5_7
26.524343,23.818678,7.0,upper_mid_6_5_7
-18.324791,19.294544,6.0,mid_5_5_6
1.6150415,18.076403,6.5,upper_mid_6_5_7
3.0029666,-6.6510925,6.0,mid_5_5_6
-11.484555,-5.204334,7.0,upper_mid_6_5_7
11.929672,8.841594,5.0,lower_mid_4_5_5
-12.146106,1.6384588,3.5,low_0_4
-15.956279,-16.933739,6.5,upper_mid_6_5_7
-17.332188,-4.4702888,6.0,mid_5_5_6
7.890269,-4.074752,4.0,low_0_4
-1.2439331,-5.080132,7.0,upper_mid_6_5_7
-35.66014,-4.0363398,6.0,mid_5_5_6
35.838863,22.42671,4.5,lower_mid_4_5_5
36.991364,-11.690692,5.0,lower_mid_4_5_5
45.62387,3.7983053,7.5,high_7_5_8
-21.002266,-9.236739,7.5,high_7_5_8
-15.390918,2.5188568,7.5,high_7_5_8
7.6155286,10.664448,6.0,mid_5_5_6
17.712729,25.380867,3.5,low_0_4
-35.60949,-1.7020301,7.0,upper_mid_6_5_7
46.793713,0.9241539,7.5,high_7_5_8
-16.875399,-21.45529,5.5,mid_5_5_6
43.334057,-6.5579185,6.0,mid_5_5_6
2.4324503,26.952436,6.0,mid_5_5_6
-15.679484,9.786969,6.0,mid_5_5_6
17.658936,-3.3236277,4.5,lower_mid_4_5_5
-8.742981,3.8257692,6.5,upper_mid_6_5_7
2.363801,-8.652732,6.0,mid_5_5_6
56.926525,-19.492144,8.0,high_7_5_8
-37.454964,-0.93190145,5.5,mid_5_5_6
-11.32326,12.825542,6.5,upper_mid_6_5_7
-2.0964143,3.2533545,5.5,mid_5_5_6
-7.721166,-21.02926,5.5,mid_5_5_6
2.1530707,-29.25709,3.5,low_0_4
-6.5286713,-5.4628706,8.0,high_7_5_8
-3.1920779,-5.750551,5.5,mid_5_5_6
-30.048988,-20.9452,4.5,lower_mid_4_5_5
-16.304968,-3.21491,5.0,lower_mid_4_5_5
-25.353628,-7.776478,8.0,high_7_5_8
-14.252499,26.819107,8.0,high_7_5_8
38.903206,20.229095,4.0,low_0_4
-20.226772,-9.583949,7.5,high_7_5_8
-24.918097,15.580191,6.0,mid_5_5_6
-36.600426,-8.075408,5.5,mid_5_5_6
12.312199,-2.5769923,8.0,high_7_5_8
-20.43308,11.078171,8.5,very_high_8_5_9
2.887056,13.725349,5.5,mid_5_5_6
-7.7248864,-23.383867,6.5,upper_mid_6_5_7
49.662453,1.3422911,8.0,high_7_5_8
13.628575,-1.8111856,7.0,upper_mid_6_5_7
-3.8376365,-23.82392,4.0,low_0_4
0.110374,19.245329,7.0,upper_mid_6_5_7
2.2052243,18.77398,6.5,upper_mid_6_5_7
-33.825512,-4.2569957,6.5,upper_mid_6_5_7
-25.855162,-5.194824,7.5,high_7_5_8
40.437786,1.3887944,5.5,mid_5_5_6
-33.700752,4.479405,6.5,upper_mid_6_5_7
5.656461,-15.46497,5.0,lower_mid_4_5_5
-5.0405726,-0.20714419,6.5,upper_mid_6_5_7
10.161102,-8.012957,4.0,low_0_4
-31.627625,-1.8550828,7.0,upper_mid_6_5_7
13.139115,18.111164,3.5,low_0_4
28.48306,-8.698058,6.0,mid_5_5_6
-9.318713,-9.831648,5.0,lower_mid_4_5_5
-12.170469,15.480665,3.5,low_0_4
-14.647594,21.293976,9.0,very_high_8_5_9
-4.145097,1.712965,7.5,high_7_5_8
-27.642782,29.068962,7.5,high_7_5_8
11.678145,0.26648444,6.0,mid_5_5_6
-38.0896,12.784795,4.0,low_0_4
-19.78926,18.037756,6.0,mid_5_5_6
8.774947,8.358657,5.0,lower_mid_4_5_5
-30.651575,-23.562407,6.5,upper_mid_6_5_7
-24.49415,23.018393,8.0,high_7_5_8
-19.59519,-4.761799,7.5,high_7_5_8
0.98571587,24.866936,8.5,very_high_8_5_9
-10.425822,28.645622,5.5,mid_5_5_6
-22.780651,6.8685484,6.0,mid_5_5_6
-22.827736,-2.3216019,6.5,upper_mid_6_5_7
60.51123,-18.362963,7.0,upper_mid_6_5_7
1.451329,-14.04596,7.0,upper_mid_6_5_7
8.46379,19.650267,6.0,mid_5_5_6
18.241125,13.236896,5.5,mid_5_5_6
5.3723507,20.463257,6.0,mid_5_5_6
-18.899231,-28.82623,7.0,upper_mid_6_5_7
9.853943,-15.619747,6.0,mid_5_5_6
-0.67184293,-18.224138,7.0,upper_mid_6_5_7
